madde_no,madde_baslik,token_count,unique_token_count,sentence_count
911,İpotekli borç senedi veya irat senedi için tapu kütüğüne yapılacak tescilden başka rehin senedi de düzenlenir,34,31,3
912,İpotekli borç senedi ve irat senedi,40,35,4
913,İpotekli borç senedi ve irat senedinin şekilleri Cumhurbaşkanınca çıkarılan yönetme likle belirlenir,17,17,2
914,İpotekl i borç senedi ve irat senedi nama veya hamile yazılı düzenlenebilir,23,21,3
915,İpotekli borç senedi veya irat senedi düzenlenirken,65,57,4
916,Rehin senedinden aksi anlaşılmadıkça,80,69,5
917,Alacağın devri h,47,47,3
918,Alacaklı yoksa veya rehin hakkından feragat ederse borçlu,25,23,3
919,İpotekli borç sene di veya irat senedine ilişkin tescil,28,26,2
920,İpotekli borç senedinden veya irat senedinden d oğan alacak,22,21,2
921,Usulüne göre düzenlenmiş olan ipotekli borç senedi veya irat senedi,26,24,2
922,İpotekli borç senedi veya irat senedi metninde yazılı olanlar tapu kütüğündeki tescile uymazsa veya ta pu kütüğünde tescil yoksa,39,34,3
923,Nama veya hamile yazılı ipotekli borç senedi veya irat sene dindeki alacak,46,43,3
924,İpotekli borç senedindeki veya irat senedindeki alacağın devri,32,29,3
925,Rehin senedi irade dışında elden çıkmış veya borcu sona erdirme ka stı olmaksızın yok edilmiş ise alacaklı,79,71,4
926,İpotekli borç senedi veya irat senedinin alacaklısının kim olduğu on yıldan beri bilinmiyor ve bu süre içinde faiz ödenmesi de istenmemiş bulunuyorsa,70,66,3
927,Borçlu yalnız tescilden veya senetten doğan def,25,24,2
928,Borcun tamamını ödeyen borçlu,17,17,2
929,Borçlu borcun kısmen ödenmesi veya borç yükünün hafifletilmesi ya da güvencenin azaltılması gibi hukuk,68,62,4
930,Nama veya hamile yazılı tahviller,66,54,2
931,Seri h,29,24,2
932,Seri h,52,45,4
933,Borçlu,27,25,3
934,Senetler,30,27,3
935,Senedi çıkaran aracı kurum,33,31,2
936,Senetlerin geri ödenmesi,68,63,4
937,Rehinli taşınmazın maliki veya aracı kurum,30,30,3
938,Rehinli taşınm azlar yerine elde edilen paralar,36,34,2
939,Kanunda öngörülen ayrık durumlar dışında taşınırlar,54,49,5
940,Yetkili makamlar tarafından izin verilen kuru luşlar ile kooperatiflerin alacaklarının güvence altına alınması için,81,61,5
941,Rehnedilen taşınırın maliki,51,46,3
942,Alacaklı,16,16,2
943,Taşını r rehni,36,32,3
944,Alacağın ödenmesi suretiyle veya başka bir sebeple rehin hakkı sona eri nce alacaklı,36,30,3
945,Alacaklı,42,38,3
946,Alacaklı,28,27,3
947,Rehin,34,30,4
948,Aynı taşınır üzerinde birden çok rehin hakkı bulunduğ u takdirde,27,24,3
949,Borcun ödenmemesi h,19,19,2
950,Alacaklı,62,56,4
951,Nitelikleri itibarıyla paraya çevrilmeye elverişli ol mayan taşınırlar üzerinde hapis hakkı kullanılamaz,40,36,3
952,Alacaklı,68,53,3
953,Borç yerine getirilmez ve yeterli güvence de gösterilmezse alacaklı,55,50,3
954,Başkasına devredilebilen alacaklar ve diğer haklar rehnedilebilir,31,30,3
955,Senede bağlanmış olan veya olmayan alacakların rehni için rehin sözleşmesinin yazılı şekilde yapılması ve sened e bağlı alacaklarda senedin teslim edilmesi gerekir,82,60,6
957,Emti ayı temsil eden kıymetli evrakın rehnedilmesiyle emtia üzerinde rehin hakkı doğar,45,39,3
958,Rehinli bir alacak üzerinde sonra gelen bir rehnin kurulması,33,28,2
959,Faiz veya k,61,56,3
960,Ortaklık genel kurulunda rehinli pay senetlerini temsil etmek yetkisi,86,72,5
962,İşletme olarak taşınır rehni karşılığında ödünç verme işiyle uğraşmak isteyenler,18,18,2
963,Özel işletmelere ancak belli süre için izin verilebilir,32,30,4
964,Rehnedilen taşınırın işletmeye teslim edilmesi ve karşılığında bir makbuzun alınmasıyla rehin kurulmuş olur,19,19,2
965,Borç vadesinde ödenmezse,34,33,3
966,Satış bedelinin rehinli alacak mik tarından fazla olması h,58,50,4
967,Rehnedilen taşınır,63,45,4
968,Ödünç veren,47,44,3
969,Geri alım hakkı tanıyarak satın almayı meslek edinenler hakkında da,25,25,2
970,İşletme o larak taşınmaz rehni karşılığında ödünç verme işiyle uğraşmak üzere yetkili makamdan izin alanlar,42,41,2
971,Alacaklılar,57,49,4
973,Bir şey üzerinde fiil,29,26,3
974,Zilyet,40,36,3
975,Bir şeyde fiil,25,22,2
976,Fiil,51,44,3
978,Temsil ciye yapılan teslim,13,13,2
979,Bir üçüncü kişi veya zilyetliği devreden,64,52,3
980,Bir taşıyıcıya veya umum,46,37,3
981,Zilyet,46,42,4
982,Başkasının zilyet bulunduğu bir şeyi gasbeden kimse,56,44,4
983,Saldırıda bulunan,63,55,4
985,Taşınırın zilyedi onun mal iki sayılır,19,18,3
986,Bir taşınıra malik olma iradesi bulunmaksızın zilyet olan kimse,55,46,4
987,Bir taşınırın zilyedi,33,33,3
988,Bir taşınırın emin sıfatıyla zilyedinden o şey üzerinde iyiniyetle mülkiyet veya sınırlı ayn,33,32,2
989,Taşınırı çalınan,98,75,5
991,Bir taşınırın zilyetliğini iyiniyetle edinmemiş olan kimseye karş ı önceki zilyet,32,25,3
992,Tapuya kayıtlı taşınmazlarda,40,37,3
993,İyiniyetle zilyedi bulunduğu şeyi,46,42,3
994,İyiniyetli zilyet,79,60,5
995,İyiniyetli olmayan zilyet,65,53,4
996,Kazandırıcı zamanaşımından yararlanma hakkına sahip olan zilyet,32,31,2
997,Taşınmazlar üzerindeki hakları göstermek üzere tapu s icili tutulur,44,36,4
998,Tapu siciline taşınmaz olarak ş unlar kaydedilir,92,67,7
999,Özel mülkiyete t,41,36,3
1000,Her taşınmaza kütükte bir sayfa ayrılır ve sayfa n umaraları birbirini izler,143,108,8
1001,Kat mülkiyetine konu olan bağımsız bölümler,72,52,4
1002,Tapu kütüğüne tescil istemleri,31,30,3
1003,Bir taşınmazın kütüğe kaydı ve belirlenmesinde resm,28,26,3
1004,Taşınmazlar,10,10,2
1005,Birden çok bölgede bulunan taşınmaz,49,42,3
1006,Tapu idarelerinin kuruluş,14,14,2
1007,Tapu sicilinin tutulmasından doğan bütün zararlardan Devlet sorumludur,50,46,5
1008,Taşınmaza ilişkin aşağıdaki haklar,21,20,2
1009,Arsa payı karşılığı inşaat,43,41,3
1010,Aşağıdaki sebeplere dayanan tasarruf yetkisi kısıtlamaları,55,49,3
1011,Aşağıdaki h,96,83,6
1012,Bir taşınmazın eklentileri,56,51,5
1013,Tescil,47,45,4
1014,Bir tescilin terkin edilmesi veya değiştirilmesi,22,22,2
1015,Tescil,56,45,4
1016,Tasarruf yetkisine ve hukuk,65,59,4
1017,Kütüğe tesciller,32,31,4
1018,Taşınmaz lehine irtifakların tescil ve terkini hem yüklü,18,17,2
1019,Tapu memuru,28,25,3
1020,Tapu sicili herkese açıktır,40,36,4
1021,Kurulması kanunen tescile t,16,16,2
1022,Ayn,76,70,5
1023,Tapu kütüğündeki tescile iyiniyetle dayanarak mülkiyet veya bir başka ayn,23,22,2
1024,Bir ayn,60,50,4
1025,Bir ayn,51,44,3
1026,Bir ayn,64,59,4
1027,İlgililerin yazılı rızalar ı olmadıkça,60,53,5
1028,17 Şubat 1926 tarihli ve 743 sayılı Türk Kanunu Meden,11,11,2
1029,Bu Kanun 1 Ocak 2002 tarihinde yürürlüğe girer,8,8,2
1030,Bu Kanu n hükümlerini Bakanlar Kurulu yürütür,18,15,2
36,Bu Kanunla değiştirilen Türk Meden,257,87,2
